asin, yr, month, rating, yeshelpfulnessvotes, totalhelpfulnessvotes, wordcount, summaryreview, fullreview
B000KK53L6,2010,5,5.0,1,1,362,"Best I ever tried","I'm 35 years old and I've had severe acne since I was about 14.  I took antibiotics as a teen for it...it hasn't remained at THAT severe level, but I still have quite a bit of issues with my complexion, especially considering at my age its usually not an issue.		I finally decided to try something more expensive so I saw this at Walmart and picked it up.  Wow!!!  My face is REALLY looking better.  Yeah I still get a pimple or two here or there but overall my complexion is so much improved.		A few thoughts...		First, the toner goes way faster than everything else.  My kit has lasted about 2 months and I'm about ready for a new kit.  But after like 3 weeks I needed to order more toner, so I just got the regular AcneFree toner, a big bottle of it, on Ebay.  It works just as well.		Speaking of the toner....Its AMAZING how much dirt it takes off your face, even right after I've scrubbed my face in the shower!  No wonder I was breaking out....there's so much dirt hiding here and there in my pores and face its not even funny.		Anyway...also beware that the cleanser and the morning lotion contains benzoyl peroxide and it WILL bleach your towels, pillowcases, and clothes if you are not careful.  The night cream contains retinol and that does not bleach, and the toner is just soothing and cleansing.		I love how the retinol smooths your skin at night and the toner also feels great...and the peroxide works during the day.  I have not had my face irritated or dried out at all using this.  Before I replaced the toner, I tried some Neutrogena acne toner and it dried out my face and I started breaking out.  When I went back to using all four steps of the AcneFree, I cleared back up.		The only bad thing is I'd like to use this on my chest as well but I'm afraid of bleaching my clothes so I do not.		Anyway I'm really happy with this and would recommend it to anyone, and am getting ready to buy my second kit."
B000KK53L6,2010,3,5.0,1,1,315,"Works Well (A guys perspective)","I'm 23 and have had acne issues since I was about 17, started mild, then got bad starting about age 19. I have used Clearasil, Pro-Active, Oxy, and countless other treatments, but this product has worked the best for me. I would say when using mild acne treatments i would get about a lot of pimples with a bunch of redness on my face. After using this product I get about 4-5 pimples a month and little to no redness on face. For a lot of the month my skin looks great with no visible acne!	I have been using Acne Free Sever for about 8-12 months now and it has proven to work well for me. I do caution others those (as many other reviewers have pointed out) THIS STUFF IS POTENT. The lotion burned for about the first week of application, then my skin got used to it. Another suggestion that I highly recommend would be using an oil free moisturizer with the product. Now I know a lot of guys don't use moisturizer, but honestly guys, this product WILL dry out your skin and which would you rather have, dry flaky skin or smooth soft skin?	Overall I really like this product, but I am currently looking for other products. I know its wierd to write in a review with a 5 star rating, but the truth of the matter is that this stuff is about the strongest thing you can get over the counter. If something less potent can get me close to the results of the product, I'm going to use it as I'm sure it would be better for my skin. But if you have tried a bunch of other products and they didn't seem to work for you, or if  regular strength Acne Free worked well, but just not well enough this may be the product for you."
B000KK53L6,2010,3,5.0,1,1,178,"Very Potent System","I have extremely oily skin (its crazy). It took two weeks for the system to dry my skin out and for me to see results. Proactive/Clearasil could not make a dent in my skin after 2 months. This stuff is EXTREMELY potent and you will feel it after the first application.		Your skin will dry out and start flaking at which point I suggest you do STEP 3 less or start using an oil free moisturizer. Also, do not put this stuff near your eyes they will burn.  After 2 weeks my skin started healing extremely fast. New acne was reduced to nothing and old acne started clearing up.		Few things to note:		1. DO NOT PUT THIS ANYWHERE NEAR YOUR EYES	2. Step 1 - I used a stronger exfoliating scrub with the cleanser provided (extremely oily skin)	3. Step 4 - Skin feels amazing after waking up. Make sure your face is dry completely before applying		Also, if you have sensitive skin I suggest you go with something more mild. This stuff is strong as advertised."
B000KK53L6,2010,0,3.0,1,1,111,"Works Well For Now","I am 35 years old and have been suffering from acne since I turned an adult. I've been using this product for 3 days and I see improvements I never got with Proactive or from my dermatologist. The irritating bumps and whiteheads are disappearing but I must say that the step 3 lotion can irritate and burn all day. Do Not get it anywhere near your lips or eyelids!		I'm going to continue with it. I long for the day when my skin is clear and I don't have to wear make-up to 'hide' flaws and black marks over my face. I pray this works for me in the long run"
B000KK53L6,2009,9,5.0,1,1,175,"A Great Product","About a 3weeks ago I started using this product. I have hormonal acne which is one of the hardest forms of acne to treat on skin, because the problem is from within. Now when I say my skin was bad, it was so bad I can't go anywhere without makeup.	When I started using this product i saw a little difference by a week. It wasn't that noticeable, but I noticed my skin was drying up. I continued using it, but my skin never got excessively dry. Its just perfect. I noticed that I totally stopped breaking out, and no the spots are disappearing. I can't remember the last time i washed my face without feeling acne/pimples on my face. I cant actually say that now.	I believe people that don't have severe acne get their skin dried out too much.	This is a great product and as it says its better than proactiv. I have used proactiv and didn't see much of a difference. This product made all the difference.	I love this product."
B000KK53L6,2009,8,5.0,1,1,201,"Got rid of my acne in a heartbeat.","I've used many acne products such as Proactiv, Daniel Kern's, and other various products with salicylic acid (Stridex pads) and the likes, and I found this to work the best out of all of them. It doesn't slightly reduce the size of white heads, but rather, completely eradicates any trace of it, and results are delivered in just a couple of days.		Some word of caution, however.		This stuff is very concentrated, and you should follow the directions VERY carefully. 10% benzoyl peroxide, in abundance over a long period of time, has the potential to leave scars, so don't glob a lot of this stuff over a whitehead hoping to make it go away overnight.		Also if you live in a hot area and find yourself sweating a lot (Arizona), keep this stuff AWAY from any articles of clothing, because it can and will bleach your clothes very badly. Even the act of wiping the sweat off your face and wiping it off on your shirt will leave a bleach mark that will not come out.		I've been using this stuff since 2008, and it has not failed me yet. Just be aware that it's strong stuff that shouldn't be underestimated."
B000KK53L6,2009,1,4.0,1,1,325,"give it a try, it definitely works","I used to have some acne when I was a teenager but I got the worst acne ever in my mid 20s. I tried everything for years with no results until I saw this product and decided to give it a try. I saw results quickly. Actually, the first couple of days it dried my skin up a little bit and I got a bad burning around my eyes. But the instructions clearly say not to use the product on the eyes area and I did, so it was my fault, (and I also overused it on my urge to get rid of my acne no matter what) Anyway, as soon as I saw the product dried my skin up, I just easily worked it out by following the instructions on how to use the product plus using some good day/night moisturizers by The Body Shop (I love their products).	My skin began to look much better in a few days, the repair lotion really works. My severe acne disappeared and now I just have to cope with few regular breakouts like once in a while and I can fight them with the repair lotion. I think this stuff really kills acne bacteria and most of the time prevents breakouts from attacking again!	But remember, you must follow the instructions and not overuse it cause it can burn your skin! and you need to use it constantly and be patient to get the best results!. One more thing, we are all different and every skin type may show a different reaction to this product, so, even though I can tell the product has been working awesome for me since I got it, this is just and opinion/advice according to my personal experience.	As I mentioned it before, bear in mind that acnefree might dry up your skin, but you can work it out with a moisturizer and that's a whole lot better than fighting acne!"
B000KK53L6,2009,0,2.0,1,1,60,"Worked pretty well but too harsh","I used the original acnefree and felt I needed something a little stronger. As soon as I started using acnefree severe I started seeing results, however after about a week of using it my skin began burning and having dry spots. My skin usually tolerates acne treatments pretty well, but step 3 the day time lotion was just too harsh."
B000KK53L6,2009,0,5.0,1,1,101,"It really works!","I have had acne for a long long time, many years. Thought it would dissapear after teenage years but i guess not, 26 years old now. I got scars from them too. I've tried all kinds of stuff and i really love this product. It really improves my skin. Not just takes away the acne but it looks and feels better too. My skin does not get irritated from it. It doesn't dry it out like other products can. It really works for me and my skintype. I tried the acnefree not severe one but acnefree severe works best for me."
B000KK53L6,2008,10,5.0,1,1,23,"excellent product","AcneFree Severe Acne Treatment is the best product on the market. I have never had a acne treatment work so well for me."
B000KK53L6,2010,0,5.0,0,0,92,"Proactive should prepare to go out of business","I've been battling with acne for over 3 years now.	I've tried Proactive and many other acne treatments.		And I finally found the solution to this acne maze.		I have been using ""AcneFree Severe Acne Treatment System"" for 2 days as of now, and I am seeing the difference!	I can see acnes disappearing! It works!!		Proactive didn't work for me, but this one did!		While using PROACTIVE, I felt uncomfortable wearing the toner and lotion.. (It tends to make	my skin look greasy) but AcneFree doesn't have that problem.		Definately recommended!"
B000KK53L6,2010,0,4.0,0,0,324,"Works good, but is VERY strong","I started using this product 2 months ago when I was 5 months pregnant. The product says not to use while pregnant unless consulting physician but I was comfortable with using it since my face ALWAYS breaks out horribly when I am pregnant, and this is the third time so this is nothing new to me. I have used Proactiv, clearasil, oxy pads, pretty much everything. At first I used the acne free system as directed, but it was too strong for my skin, my face became raw and BURNED like nothing else I have ever felt. So I stopped using the gritty lotion, except for on problem areas, and within 4 days i felt 100 percent better, and when the skin healed, the bad acne had cleared. Now With just using the wash, toner, and night cream, my face has made a dramatic turn around, I still get occasional pimples, on my cheek area and still have some minor blackheads but all in all this product worked good for me. My skin feels great, and definately smoother. I love how non-abrasive the wash is, it leaves my skin feeling fresh and not like I just scrubbed it with a brillo-pad. I will probably try to use the lotion again once I am no longer pregnant and see if I get a different reaction but for now the other 3 steps are working just great. I had also had some MINOR acne on my shoulders, within 1 week of using the system that had cleared up and I havent had any problems with my shoulders since. I would recommend this product to anyone who wants to get rid of stubborn acne. You just have to remember that even though it may come over night, your acne is not going to cure over night, and acne products WILL dry your skin out and irritate it for a while, but that means that it is working."
B000KK53L6,2009,11,5.0,0,0,311,Success,"I bought this off Amazon about a month and a half ago because of the many positive reviews. I have had acne since I was 12, although I let it go untreated most of that time. Now I'm 24 and decided enough was enough, I bought this kit even though my acne is no longer what I consider ""severe"" (although it has been in the past as the scars left behind can attest to) My skin is oily and not particularly sensitive so I felt confident I could handle an over the counter severe acne treatment kit. Immediately before I started using this I had been using a generic 5% benzoyl peroxide cream, that had been over drying my face. (I define over drying as when my skin starts flaking)		With all that said, this is a fantastic product, especially for the price. Proactiv goes for $40 on Amazon and this stuff sells for almost half that. Also, this kit did not overdry my skin as straight benzoyl peroxide treatments have done. I imagine some people might have a drying problem, but just use some moisturizer and you should be good to go. As with any acne treatment the key is being consistent. If you start missing applications acne Will come back.		Of course the bottom line is results, this product absolutely cleared up all my acne in a little under a month. It's hard to express in words how happy I am looking in the mirror now and seeing a clear complexion looking back at me.		The only downside I can think of is that step 4 comes in a small 1 ounce container and will most likely run out before the rest of the kit does. Other than that I give this product my full reccomendation with consistent use it will most likely clear up most cases of acne."
B000KK53L6,2009,9,5.0,0,0,120,"It is working...","I purchased this product for my son about 6 weeks ago.  Within a few days his pimples starting clearing up.  He had a very bad case of acne.  It is now 6 weeks later and his pimples are not totally gone but his acne is much less severe than it was.		At first his face burned and dried out a little, but his face now seems used to the product.  The #2 gets used up much quicker than the rest of the products.		When he misses a day using all of the steps, we notice the difference.		Hopefully, in another few months all of his pimples will be gone.  If not, at least his face looks MUCH BETTER than before."
B000KK53L6,2009,6,4.0,0,0,81,"It really worked for me","I've tried several products in the past and this one seemed to worked the best to help clear up my very mild blemishes around my nose and does it pretty quickly. I barely been using it a week. I actually liked the morning lotion which does burn a little and feels somewhat sandy when applied, but it's better than the oily feel I get with other products.		Also, you're better off finding this at Walmart where I got mine for less."
B000KK53L6,2009,4,4.0,0,0,73,"Great Product","This product is fantastic. I was completely clear of acne in one month. I live in the carribean and ordered it front amazon.com. I've tried Accutane, Proactiv (twice), prescription drug, antibiotics etc. But nothing worked as quickly and completely as Acnefree. Thanks! Wish I had a before and after picture. Just need to get rid of the acne scars, can't use hydroquinione so I'm at a lost. But the acne is gone. Yeah!!"
B000KK53L6,2009,2,4.0,0,0,177,"So far so good","Well.. I'm on day 3 of using this product and so far I LOVE it. Already my face is looking and feeling better. I have very oily skin, and I have new breakouts almost daily - ah the wonders of genetics. After my first use my skin felt great, and over the last few days I haven't had any new breakouts, and the ones I have seem to be getting smaller. I have to say, I've used a million acne treatments, and this is one of the first ones I've ever used that didn't make my face 10 times worse before it got better.. We'll see if that turns out to be a good thing or not.		All in all, so far my face is feeling so much better. My breakouts started clearing up almost immediately, and no more have formed. Even my mom commented that it seemed to be working. I'm loving this product so far, and will definetly continue to use it. I'll let you know how it goes when i've been using it longer."
B000KK53L6,2009,2,5.0,0,0,163,"Very pleased, but make sure you follow the directions!","I've been very pleased by this product. I have the type of acne that usually pops up right before my monthly cycle, then takes forever to heal, and this product starts making a huge dent in the acne overnight. I've been able to prolong the life of the package that I bought by only using it when I start to break out. It's been working really well for me. It hasn't dried out my skin, which is really surprising. The lotion does tend to make my face a little greasy, so I try not to use very much of it.	I've only had one problem: one night when I first started using it, I was really tired and in a hurry to go to bed. I forgot to wait at least 10 minutes between steps 3 and 4, and I ended up turning my pillow case orange. I've been really careful to follow the directions exactly since then and haven't had any problems."
B000KK53L6,2009,2,5.0,0,0,164,"OMG!!! THIS REALLY WORKS! FINALLY!!!","Okay, first of...this kit is an awesome deal for the price! for less than $25 dollars, without the hassle of prescription, and typically found at any pharmacy store like Walgreens, Target etc., it is such a convenient!		-Caution with step 3: the first night I've used the product, my face was really tender and a little inflamed. My skin was tremendously dry. (So, just FYI...if you have a function or a party that you need to go to, consider using this afterwards, because it takes a few days for your face to clear the stubborn acnes and other after effects) I can almost tell, I used the Step 3 lotion more than what I should. AVOID the eye and lip area, especially if you have sensitive skin! But after a couple of days, I can definitely tell some amazing results!		HIGHLY RECOMMENDED TO ANYONE SUFFERING WITH ""SEVERE ACNE""		For a fraction of the cost, it's worth having clear skin all over again.		Inferiority Complex...GONE!"
B000KK53L6,2008,11,5.0,0,0,183,"Excellent!  Excellent!  Excellent!","I wouldn't classify my skin as ""severe"" at all, in fact, my skin tends to be clear most of the time.  I'll get the occassional pimple or blackhead here and there, but nothing severe whatsoever.		I began using this product because my brother (who also has good skin) was raving about how this product heals his blemishes and keeps his skin healthy and clear.  After watching him use the product for several weeks, I noticed a dramatically improved complexion.  His face was simply rejuvinated.		I then decided to take the plunge and try it for myself.  This product was simply amazing.  The four-step process is simple to follow and feels excellent on my face.  My blackheads:  gone.  Any new ones:  gone.  My skin:  clear as can be.		I highly recommend this product to anyone seeking to keep their skin healthy and clean.		A word of caution:  If your face is mild to dry, make sure you use a moisturizer between the morning and evening sessions.  I began to get very dry skin during the first few days, but using the moisturizer helped immensly."
B000KK53L6,2012,6,4.0,0,0,59,"Pretty decent","This acne system works fairly well. I've got adult onset, and after being off Rx acne meds for a couple years this is the best OTC stuff I've tried. It's not a miracle, and it's not as good as combining a sulfer wash with retin-a and benzoyl peroxide - but my skin looks better than it has in awhile."
B000KK53L6,2012,5,5.0,0,0,168,"Positive results and good price","I purchased this item about 2 and a half months ago. I will admit I did skip a few days at a time sometimes, but this product definitely showed nice results. Lately (I'm 27) I have had breakouts due to my hormone levels changing and wanted to try something without having to waste my money. I am very skeptical on anything I buy. So I only purchase items with a large review community.		It's been a little over two months and this product helps clear my skin, and leaves it feeling very smooth. The only thing I would want different is, if it helped with red blotches. But we cant find all our skin solutions all in one product! lol. It did what what it advertised, and it didn't burn, or make my skin itchy, dry, or flakey. No bad smells either, I know some of you are big on that. Everything feels and smells great. I'd recommend giving it a try. Best of luck to you all."
